param: BUS : bus_num := 
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 41
42 42
43 43
44 44
45 45
46 46
47 47
48 48
49 49
50 50
51 51
52 52
53 53
54 54
55 55
56 56
57 57
58 58
59 59
60 60
61 61
62 62
63 63
64 64
65 65
66 66
67 67
68 68
69 69
70 70
71 71
72 72
73 73
74 74
75 75
76 76
77 77
78 78
79 79
80 80
81 81
82 82
83 83
84 84
85 85
86 86
87 87
88 88
89 89
90 90
91 91
92 92
93 93
94 94
95 95
96 96
97 97
98 98
99 99
100 100
101 101
102 102
103 103
104 104
105 105
106 106
107 107
108 108
109 109
110 110
111 111
112 112
113 113
114 114
115 115
116 116
117 117
118 118
119 119
120 120
121 121
122 122
123 123
;
param: GEN: gen_num gen_bus gen_cost_P gen_cost_NL gen_cost_SU gen_Pmin gen_Pmax gen_r10 gen_rr := 
1 1 107 12.208 0.0 840.0 729.0 2430.0 1215.0 7290.0
 2 2 100 19.495 417.9 48.3 91.38 304.6 684.0 4104.0
 3 3 100 38.5 254.1 42.699999999999996 70.8 236.0 108.0 648.0
 4 4 100 33.691 383.59999999999997 32.199999999999996 52.92 176.4 448.6 2691.6
 5 5 100 23.953999999999997 221.2 25.9 114.21 380.7 767.6 4605.6
 6 6 100 13.419 960.4 217.0 252.75 842.5 513.4000000000001 3080.4
 7 7 100 31.346 34.3 41.3 53.19 177.3 419.5 2517.0
 8 8 100 23.002 304.5 43.4 114.54 381.8 830.5 4983.0
 10 10 62 16.548 237.99999999999997 42.699999999999996 27.81 92.7 181.0 1086.0
 11 11 62 37.303 1490.3 48.3 203.43 678.1 1773.4 10640.4
 12 12 62 23.198 289.09999999999997 8.399999999999999 78.0 260.0 633.5 3801.0
 13 13 62 26.235999999999997 2175.6 49.0 149.37 497.9 208.70000000000002 1252.2
 14 14 110 16.779 353.5 8.399999999999999 6.6 22.0 35.2 211.2
 15 15 110 30.701999999999998 85.39999999999999 30.799999999999997 15.03 50.1 77.0 462.0
 16 16 110 32.991 225.39999999999998 53.199999999999996 60.96 203.2 539.5 3237.0
 18 18 32 35.532 2161.6 52.5 129.6 432.0 291.1 1746.6
 25 25 100 20.453999999999997 1407.0 26.599999999999998 274.38 914.6 2427.2999999999997 14563.8
 26 26 100 13.251 1303.3999999999999 251.99999999999997 459.0 1530.0 405.7 2434.2
 27 27 100 33.333999999999996 2352.7 40.599999999999994 160.65 535.5 310.5 1863.0
 28 28 100 37.184 190.39999999999998 23.099999999999998 7.71 25.7 26.6 159.60000000000002
 44 44 17 32.312 390.59999999999997 24.5 32.4 108.0 193.4 1160.4
 45 45 61 20.517 158.2 9.799999999999999 16.47 54.9 118.0 708.0
 47 47 61 31.269 9.1 30.799999999999997 18.0 60.0 64.9 389.40000000000003
 48 48 61 16.569 206.5 24.5 13.2 44.0 121.1 726.5999999999999
 49 49 79 19.845 1379.6999999999998 4.8999999999999995 191.7 639.0 1442.0 8652.0
 50 50 79 29.939 1927.1 31.499999999999996 178.5 595.0 722.0999999999999 4332.599999999999
 51 51 91 37.827999999999996 164.5 41.3 72.6 242.0 464.3 2785.8
 54 54 59 36.602999999999994 1271.8999999999999 32.199999999999996 345.84 1152.8 529.0 3174.0
 60 60 71 39.23499999999999 312.9 11.2 60.48 201.6 279.7 1678.1999999999998
 61 61 71 30.232999999999997 116.19999999999999 38.5 60.3 201.0 452.5 2715.0
 62 62 71 29.728999999999996 319.2 17.5 84.96 283.2 591.3000000000001 3547.8
 66 66 112 35.917 217.7 42.699999999999996 7.47 24.9 20.2 121.2
 70 70 57 36.666 18.9 28.7 57.33 191.1 203.1 1218.6
 71 71 57 20.86 2319.1 22.4 258.3 861.0 1479.6000000000001 8877.6
 72 72 57 18.837 581.6999999999999 52.5 135.0 450.0 540.5 3243.0
 73 73 57 26.158999999999995 214.2 46.199999999999996 16.8 56.0 106.8 640.8
 75 75 98 16.597 312.9 24.5 34.2 114.0 197.0 1182.0
 76 76 44 23.625 500.49999999999994 41.3 136.05 453.5 1342.8 8056.8
 85 85 91 23.464000000000002 12.6 53.9 50.4 168.0 229.7 1378.1999999999998
 93 93 111 12.208 0.0 840.0 812.58 2708.6 1354.3000000000002 8125.8
